Time,Gyro_X,Gyro_Y,Gyro_Z,Acc_X,Acc_Y,Acc_Z,Euler_X,Euler_Y,Euler_Z,Tilt_X,Tilt_Y,Tilt_Z,Quat_W,Quat_X,Quat_Y,Quat_Z
0.0,25.468605642824702,-2.6887022633786772,5.215216527608377,0.0941259021228465,0.3194930848933059,0.9162031652007219,0.10660654306411743,-0.029002666473388672,1.1903804331137025e-10,5.540691229922042,19.13106870359549,19.977862026268742,0.9999995231628418,0.0009303175029344857,-0.0002530959318391979,2.3546073180114035e-07
0.0005001147052076164,25.46851287705265,-2.688816227767149,5.215403045205266,0.09412629512874461,0.3194940247929576,0.9161981575390167,0.21269668638706207,-0.05786971002817154,-5.112447687416477e-10,5.540739296409557,19.13121607141969,19.978018516913288,0.9999982118606567,0.0018561272881925106,-0.0005050076288171113,9.373556508762704e-07
0.0010002294104152329,25.467802462519913,-2.6889532162596828,5.215267925557287,0.09412247861105799,0.31949792885337513,0.9161891761945041,0.31827351450920105,-0.08660047501325607,-2.5189919594659216e-11,5.540556863736886,19.131612461011983,19.978346151479272,0.9999958872795105,0.002777456073090434,-0.0007557287462987006,2.09901190828532e-06
0.0015003441156228492,25.466475285289878,-2.689113009862012,5.214812576392874,0.09411446407617197,0.31950479136490306,0.9161762223929278,0.42334020137786865,-0.11519429832696915,-1.942396937737456e-11,5.540144601526791,19.132257518142694,19.97884480112606,0.9999926686286926,0.0036943298764526844,-0.0010052528232336044,3.7137626804906176e-06
0.0020004588208304658,25.46453231880747,-2.6892951240926672,5.214038823601896,0.09410226447151346,0.31951460419793587,0.9161593029302062,0.5278999209403992,-0.14365054666996002,-3.032124273882886e-10,5.53950323363346,19.1331506485736,19.979514134445168,0.9999886751174927,0.004606775939464569,-0.0012535738060250878,5.774996225227369e-06
0.0025005735260380823,25.461974625161478,-2.689498809709107,5.212948909591764,0.09408589419844915,0.3195273568075243,0.9161384301536614,0.6319557428359985,-0.17196856439113617,-3.2008123929117005e-10,5.538633539041135,19.134291018597178,19.98035361810283,0.9999837279319763,0.005514820106327534,-0.001500685466453433,8.276142580143642e-06
0.0030006882312456984,25.45880335643032,-2.6897230538217776,5.211545491053138,0.0940653691250043,0.3195430362410385,0.9161136219357238,0.7355107665061951,-0.20014776289463043,4.4347834432523214e-11,5.537536352807239,19.135677555861914,19.981362517745417,0.9999778866767883,0.006418488919734955,-0.0017465818673372269,1.1210664524696767e-05
0.003500802936453315,25.455019756108914,-2.6899665813935507,5.209831636136123,0.09404070659837264,0.31956162714886666,0.916084901640166,0.838568389415741,-0.22818753123283386,-2.4515034446892514e-10,5.536212567047805,19.137308950482126,19.982539899165488,0.999971330165863,0.007317809388041496,-0.001991257071495056,1.4572055079042912e-05
0.0040009176416609315,25.450625160614393,-2.6902278571213754,5.2078108210386835,0.09401192545718871,0.3195831117981304,0.9160522980809471,0.9411312937736511,-0.25608721375465393,-4.2971950997561237e-10,5.534663131962799,19.139183656430315,19.983884629726,0.9999638199806213,0.008212806656956673,-0.0022347052581608295,1.83538631972624e-05
0.004501032346868548,25.445621000868346,-2.6905050876964345,5.205486926009916,0.09397904604352868,0.3196074700893945,0.9160158454737338,1.0432028770446777,-0.28384631872177124,-5.182202444942163e-10,5.532889056898699,19.14129989321038,19.985395380040433,0.9999555945396423,0.009103508666157722,-0.002476921072229743,2.2549669665750116e-05
